rest_id,rest_name
18448376,Ovenstory Pizza
50473,Empire Restaurant
20006679,Leon's Burgers & Wings
60449,Truffles
50385,Domino's Pizza
18843691,Biriyani Zone
59916,Sri Udupi Park
19541916,LeanCrust Pizza- ThinCrust Experts
51639,Meghana Foods
59218,McDonald's
20400219,KFC
20070312,Burger King
50503,Imperial Restaurant
19271612,Rotti Walla
18378739,A2B - Adyar Ananda Bhavan
50492,Hyderabad Biryaani House
57920,M.M.A Kabab and Rolls
20334224,Kailash Parbat
18958572,Bhartiya Jalpan
50793,Pizza Hut
50714,Nandhini Deluxe
18692582,La Pino'z Pizza
20053920,Ambur Star Briyani Since 1890
59768,Pathaan Sir
53456,New Punjabi Hotel
18693007,Donne Biriyani House
54635,Punjab Junction
58414,Gowdru Hotel
50713,Nandhana Palace
54526,Five Star Chicken
20349209,Thalassery Restaurant
18608512,Al Daaz
18509783,Mani's Dum Biryani
18208366,Kabab Magic
19300912,Polar Bear
58403,Kanti Sweets
59061,Kritunga Restaurant
18579416,MOJO Pizza - 2X Toppings
50310,Corner House Ice Creams
50113,Beijing Bites
19051939,Andhra Gunpowder
18375559,Behrouz Biryani
20131413,Paakashala
20226312,CakeZone
18717053,Sharief Bhai
18531984,BOX8 - Desi Meals
20246497,RNR Biryani - Taste Of 1953
52357,Subway
18614108,Faasos - Wraps & Rolls
19275714,Paradise Biryani
18181355,FreshMenu
20322863,Taco Bell
19715777,EatFit
18935964,Dindigul Thalappakatti
55715,California Burrito
20260117,WOW! Momo
19287661,Potful - Claypot Biryanis
18558902,Kapoor's Cafe
50724,Natural Ice Cream
19062521,Lassi Shop
18854314,Biryani Trip - Destination Hyderabad
18723391,Madeena Hotel
19771363,Biryani By Kilo
53219,Anand Sweets And Savouries
19669194,Goli Vada Pav
18774202,WarmOven Cake & Desserts
50709,Nagarjuna
19673702,Kwality Wall’s Frozen Dessert and Ice Cream Shop
19608760,EasyBites by Empire
20255157,"Frozen Bottle - Milkshakes, Desserts And Ice Cream"
18221543,Amma's Pastries
20447857,Narmada Chain of Restaurants
18784413,Savoury Restaurant
52122,Royal Restaurant
18655281,Bakingo
54264,Vijayalakshmi Veg
17949166,Rolls On Wheels
19588640,The Pizza Bakery - Brew & Eatery
18994874,Paratha Envy
59376,Moriz Nano Restaurant
19947381,Call Me Chow
19626246,The Punjabi Rasoi
53968,Barbeque Nation
18701989,Chulha Chauki Da Dhaba
20449142,The Belgian Waffle Co.
18366672,Baskin Robbins
20001792,Great Indian Khichdi by EatFit
19339108,Anjappar
19010192,Glen's Bakehouse
18671013,New Udupi Garden
19412035,LunchBox - Meals and Thalis
19997567,Biryani Blues
20055556,Theobroma
20306153,Aroma's Hyderabad House
51865,Siddique Kabab Centre
20253085,Ghee And Turmeric
19824077,ZAZA 22 Spice Awadhi Biryani
19810729,NH1 Bowls - Highway To North
19240092,New Udupi Grand
19363963,WOW! China
19268504,The Biryani Life
20293177,Samosa Party
57978,7 Plates
18856900,UBQ By Barbeque Nation
18254580,Smoor
20226361,The Dessert Heaven - Pure Veg
